,count
,1
番,1
错,2
事,68
物,9
征,1
碣,1
死,22
群,6
祠,4
壁,3
屡,1
梅,1
筑,2
终,8
晦,1
契,1
疏,1
守,15
渝,1
乾,2
游,18
养,9
半,4
研,2
廉,3
渭,1
早,2
特,9
上,45
伏,4
曹,5
迟,2
宝,16
水,23
称,3
规,2
教,17
泰,5
震,1
据,1
仿,1
召,2
肆,3
玉,8
卫,7
势,1
烈,1
蚤,1
捷,1
饱,2
伦,6
槐,2
梧,1
邑,4
铜,1
澄,2
三,27
逐,3
绅,1
待,3
宇,10
锡,2
松,7
洛,3
完,6
鹰,2
慈,2
笑,2
一,40
丙,2
陟,1
梦,8
甬,1
絜,1
测,1
笛,4
嗣,3
馀,2
揽,2
则,40
险,1
批,1
长,25
赖,3
身,28
蒸,1
滞,2
发,7
达,1
御,6
受,11
敦,1
次,15
癸,2
宅,6
骧,5
苍,2
语,7
糟,1
媛,1
真,28
绥,1
抒,1
张,4
助,1
亩,1
笈,2
乘,2
途,1
为,79
诸,18
祝,4
秉,1
午,1
手,8
苑,4
问,9
泪,2
训,4
丹,2
薄,7
尚,15
优,3
呈,1
迩,1
谈,2
示,7
恕,1
帙,1
蔡,1
八,10
阳,13
僧,3
之,388
谁,4
费,1
恼,1
羯,1
尽,13
页,1
佗,1
畏,1
兔,1
璧,1
悲,7
所,47
嫡,2
竂,1
口,6
弗,3
入,15
墙,1
济,2
蕴,1
答,3
浴,3
禹,2
霜,4
习,5
廊,1
踊,2
介,2
邙,1
曲,7
渠,4
竝,1
旱,1
影,4
米,7
潮,2
通,8
傅,1
加,7
汉,6
泛,4
0,150
弘,3
颇,1
魏,8
可,78
每,8
闾,1
姜,1
痕,1
效,3
毛,1
削,1
祀,7
博,1
寿,2
越,2
贺,4
盘,1
荫,2
定,13
意,14
议,7
题,18
苟,2
玲,1
房,3
幽,6
渡,2
妇,3
禺,1
耀,1
盈,2
场,2
怒,1
畎,2
此,44
田,3
昧,1
棘,1
图,6
繁,2
在,29
崇,4
外,11
常,12
刑,10
翳,1
诚,4
干,1
由,4
负,2
磻,1
却,1
荛,1
朝,12
脚,2
色,14
肇,1
飞,5
塞,3
忘,4
矩,1
当,21
脍,1
暑,4
什,1
营,1
宗,24
茂,8
枝,4
玙,1
持,10
雪,2
注,4
析,1
虹,1
佳,2
陌,1
悌,1
帏,1
筠,2
贶,1
卒,1
绩,2
甘,3
四,34
统,3
古,20
草,2
夙,4
邯,2
翊,2
汴,1
敬,22
污,1
零,2
孝,47
嗟,1
年,23
涅,1
扁,1
箱,1
束,1
川,4
径,1
折,2
辈,1
慎,2
薇,1
杷,1
陵,2
暗,2
郎,10
祖,6
迦,1
赞,1
詹,2
旅,1
桓,1
爵,1
三十,2
老,6
壮,1
妍,1
寄,2
冥,3
鉴,4
种,2
蒙,2
厄,1
送,4
肉,1
固,5
治,13
捡,3
曳,2
鳞,2
增,7
凤,3
捕,3
吐,2
缨,1
怪,2
享,3
雍,3
已,20
咒,6
纺,1
丽,1
境,4
别,2
漆,1
艺,4
寓,3
縻,1
嘉,6
谋,3
佛,11
片,1
曜,1
姐,1
精,7
庐,2
航,1
怨,4
拘,1
止,6
花,13
寐,1
列,11
下,73
英,8
琅,3
力,13
吊,1
但,18
残,1
植,1
华,13
开,11
奉,15
告,7
轸,1
危,4
凋,3
峕,1
成,15
坛,2
胜,3
拒,1
后,31
暇,1
淡,1
归,3
尔,8
掌,2
赢,2
味,3
额,3
修,16
初,11
篆,1
帖,13
项,2
具,11
珍,7
句,6
浅,3
致,7
瀚,1
厌,3
尝,1
辽,3
诏,1
徴,1
奇,3
峙,1
摇,2
缕,1
輶,1
鞠,2
鹅,1
服,9
史,12
驱,1
仇,1
历,1
索,2
目,9
晓,1
校,4
披,3
司,11
拙,1
枕,1
恐,7
伊,1
悟,8
化,7
也,136
暂,1
戎,2
於,1
追,1
权,2
泾,2
孔,6
婪,1
欧,1
还,7
遥,1
矜,1
那,1
功,9
落,6
背,3
吴,7
亥,4
起,2
胃,1
众,1
累,1
鸣,3
酥,1
豫,5
佐,1
短,4
速,2
殆,2
跎,1
玑,1
憨,1
政,9
无,90
命,17
须,2
犬,1
叹,1
警,1
颓,1
乂,1
第,41
龙,16
专,1
行,47
业,8
腮,1
代,11
科,1
轻,2
领,10
伫,1
获,6
球,1
徘,1
替,2
罗,10
羊,4
兹,1
哭,1
不,224
经,15
六,20
髦,1
登,7
菜,3
府,12
抽,1
搜,1
炳,2
橘,1
黯,2
汪,1
毁,2
霄,4
飘,1
竭,2
让,3
配,1
凌,2
眦,1
恬,1
遒,1
劭,1
社,1
壖,1
趾,1
荡,2
需,3
铭,9
变,1
混,1
前,16
绝,10
多,29
壑,2
匡,1
昨,7
降,3
叔,3
陆,1
福,10
给,3
谊,2
顺,12
央,1
阴,14
闽,2
石,20
禅,12
倾,4
阙,1
舞,2
茵,1
赤,1
贱,3
到,3
吝,1
玄,9
瑟,2
奠,2
朽,4
富,9
士,22
呼,3
眠,5
杰,3
觚,1
性,8
逢,3
渐,1
慕,6
惧,1
认,1
浊,1
骡,3
苦,7
含,3
超,5
杯,2
出,21
分,11
钱,1
烟,3
凡,4
区,1
断,1
令,17
圆,2
翔,3
红,3
贡,2
洁,3
免,1
愧,1
慰,1
怡,1
灼,1
术,1
原,11
逆,2
视,4
抗,2
默,5
温,4
覃,1
得,44
护,1
笙,1
怖,1
启,3
瑶,2
显,2
丈,1
庶,1
抱,3
便,13
医,1
遗,6
堂,12
雅,4
宦,1
讨,1
邦,1
颛,1
又,17
祸,2
敕,2
抟,1
弊,1
喜,4
圃,2
疑,2
昼,1
尊,6
余,11
肠,1
涷,1
扇,1
求,9
辟,2
百,20
糠,1
碑,5
阂,1
婉,1
升,6
坚,2
县,5
暮,10
波,13
惜,3
仲,6
理,16
斯,6
岑,2
侵,1
颠,2
宠,1
陈,10
瓘,2
珣,3
肯,1
藩,1
心,40
陪,1
赴,1
棠,1
眉,1
火,1
双,3
芥,1
与,23
思,23
拟,1
走,4
劣,3
调,1
宰,3
安,30
谨,5
贯,1
恰,1
绵,1
砌,1
盟,2
笺,1
拆,1
垣,1
染,2
磨,1
委,1
柑,1
集,7
菱,1
月,72
用,17
详,6
省,7
星,3
啄,1
垂,5
界,4
面,5
郊,2
郭,4
票,1
民,41
牙,2
夭,1
俶,2
尾,3
鼓,2
郡,15
招,3
派,1
剑,1
懈,1
协,1
辑,1
巨,5
冠,3
璠,1
亮,1
露,4
哉,4
桥,2
兴,14
底,1
汲,1
桢,2
以,140
运,5
倦,1
财,2
童,2
封,3
要,8
夏,10
亏,3
牲,1
竹,17
盗,3
模,1
合,8
膝,1
邓,2
亨,4
患,5
普,1
曾,14
责,3
纸,1
快,2
怀,10
喻,1
遇,12
吕,1
晋,13
土,3
赦,2
莫,14
纵,2
时,22
榷,1
毓,1
画,11
宾,1
躇,1
似,7
杜,1
饥,1
逃,4
揭,2
然,28
僚,3
哀,4
榻,2
窗,2
接,5
望,6
涌,1
低,1
襄,1
毕,4
幸,6
谥,1
荷,1
微,1
饭,1
总,2
平,25
悬,2
诲,1
彪,1
喷,1
貟,1
躬,1
写,3
展,2
材,2
妄,2
净,4
机,7
天,116
芾,18
琴,4
咏,11
隋,1
母,19
槃,1
读,3
夕,2
侯,9
丘,1
廓,1
胤,2
远,8
胄,1
库,1
野,4
皆,21
河,9
杏,1
立,13
热,9
册,3
隐,2
怅,1
悦,1
学,9
既,10
侣,1
羽,5
拜,9
适,4
环,3
勿,5
虢,1
涉,2
灏,1
旷,2
烝,1
參,1
般,4
傍,1
礼,14
愁,2
吏,7
能,26
形,9
啸,3
遵,2
二,24
姑,4
骑,1
柱,10
楚,3
会,6
输,1
章,22
备,3
湏,1
擎,1
源,4
姿,3
秋,21
全,7
卑,1
把,1
婢,1
淹,2
的,2
银,1
亭,25
都,8
恻,1
雷,1
激,6
著,3
奸,1
役,2
忝,2
堪,1
主,6
陶,3
演,2
孙,14
钩,1
穷,3
幻,1
貌,1
基,2
冈,1
帆,4
矫,1
监,4
羔,2
纬,2
企,2
仅,1
董,6
千,15
壬,3
寺,6
今,18
徒,4
务,1
饕,1
素,7
承,16
积,2
托,5
转,1
惶,4
娩,1
悉,1
顿,18
摹,11
茫,2
客,4
砍,1
弱,1
鸟,5
眼,1
帝,17
序,2
韩,5
凶,5
餐,1
传,13
申,4
明,28
聘,1
情,15
冕,1
譬,1
体,6
浑,1
隔,2
寒,15
肴,2
贼,6
鱼,4
识,4
莲,2
载,9
妻,2
髓,1
泽,1
秘,4
网,1
莽,1
誉,3
消,1
沾,1
避,2
袄,1
弟,14
欺,1
徐,5
状,1
耳,11
操,3
侈,1
羌,2
谓,10
及,17
欠,1
愤,1
贾,1
哲,3
藏,11
戏,5
戒,1
珶,1
褚,5
横,2
钺,1
甲,6
荘,1
而,133
尤,3
粮,1
坐,7
侍,15
空,13
堆,1
静,12
金,14
楹,1
稽,7
熬,1
访,1
揔,1
独,8
恶,9
些,2
卦,1
纷,3
释,3
非,23
潜,4
殷,1
康,2
付,4
麓,1
颜,7
籍,4
青,7
笔,5
肃,2
奏,1
耻,2
师,11
骸,2
淑,2
儿,2
较,1
狩,1
鲤,1
仕,6
看,6
洪,2
胎,1
地,40
峰,2
翼,2
道,47
献,1
妃,2
换,1
顾,8
雩,1
丁 ,1
右,16
再,14
芋,1
资,12
审,1
减,6
九,23
市,1
储,2
号,5
想,11
蹉,1
拾,2
溢,2
琬,1
生,53
夷,1
羲,14
乐,18
推,1
厝,1
巧,1
岂,3
殿,4
部,10
期,5
汤,2
解,6
烦,4
汨,1
各,2
赵,3
歇,2
顽,1
禽,1
溥,1
和,33
耐,1
诀,1
北,4
懋,1
执,6
建,12
乃,14
宛,1
厚,4
俊,1
准,1
炫,1
气,15
讵,1
沉,1
墨,9
鹄,1
向,4
伹,1
尉,4
间,9
迷,1
山,54
怜,1
者,82
禁,3
珪,1
况,9
荆,1
敢,20
卞,2
匆,2
必,12
季,5
药,1
频,7
歌,2
益,11
昌,7
昂,1
沧,1
量,2
宫,8
木,8
察,9
探,3
勒,1
悴,1
伴,2
只,7
位,5
投,1
忽,4
武,10
叟,1
赏,2
浩,3
威,2
乎,25
颡,1
湍,5
君,45
评,1
巷,1
甑,1
璇,1
皋,1
勉,1
证,3
冲,2
叛,3
勤,4
娠,1
缩,1
劝,1
揆,1
角,1
未,15
兆,4
醒,2
柳,5
宣,3
灵,6
贪,2
洞,4
蓬,1
辛,2
馨,2
吟,4
触,1
冤,1
悖,2
级,1
饫,1
燕,2
宁,9
易,15
儒,1
眺,1
排,1
限,1
晴,1
柰,1
寂,2
属,2
军,11
食,6
东,19
共,8
阅,2
假,2
宴,2
耽,1
谭,1
祜,1
蜜,5
逼,1
魂,3
耨,1
稿,1
诞,5
卷,17
霸,1
畔,1
印,1
驹,1
斡,1
遍,2
春,24
娱,4
慨,1
瓶,2
剥,1
窕,1
装,1
弈,1
案,2
凊,1
徊,1
杳,2
极,12
殇,1
借,2
亟,1
参,4
鲍,2
榭,1
室,6
俱,6
宋,5
词,1
放,3
相,30
穆,3
弦,5
窥,2
沈,8
韶,1
粹,1
沌,1
蔬,1
亲,23
闭,1
勘,1
纭,1
熟,2
二十,7
毒,1
劫,2
跳,1
紫,3
象,3
叠,1
曦,2
玩,3
动,5
设,1
它,3
漠,1
浪,1
冬,2
繇,2
逍,1
趣,2
存,7
丞,1
掖,2
字,25
禄,4
他,5
兽,1
谶,2
于,148
谏,2
珽,1
编,1
杭,2
料,1
夫,62
冏,1
恪,1
家,20
雄,1
伸,1
蛮,1
应,10
驰,8
疾,4
觞,7
支,1
藐,1
诫,1
飨,1
论,7
芝,2
流,24
闲,4
昆,2
授,1
庙,6
判,3
牧,1
镇,5
秦,4
徽,2
端,5
筵,1
括,2
唯,1
虞,3
除,7
雨,15
忍,2
防,2
穰,1
户,1
围,2
啚,1
罴,1
子,115
朵,1
鲁,7
珠,3
刃,1
薨,1
作,10
型,1
泊,2
鹍,1
泉,3
苕,1
娶,3
卉,1
蓝,1
仪,6
屋,1
席,5
叶,1
仰,11
志,11
收,7
匝,1
吉,3
钵,1
庚,1
沦,1
害,1
牒,2
庄,2
德,33
保,7
聆,1
丞 ,1
葬,1
谢,8
谦,1
车,7
许,5
器,6
讼,2
赠,2
方,20
采,2
管,6
宜,7
帚,2
少,12
抚,2
实,3
吾,16
洲,1
屑,2
录,2
恃,2
刀,1
笃,2
京,7
即,21
取,12
乡,5
箴,1
衡,1
帅,1
文,24
员,1
遮,1
诧,1
弄,1
熊,1
贵,15
中,56
黎,1
里,4
希,1
翻,1
雾,1
荣,6
菩,4
西,20
异,8
旦,4
亡,2
仍,3
郸,1
内,19
睦,3
裳,4
毂,1
纲,1
宽,1
兵,5
依,9
刻,10
茱,1
矣,17
笋,1
讥,1
疲,2
唱,1
结,4
深,10
书,76
过,11
引,7
彚,1
言,39
遐,3
幼,4
跃,5
约,4
风,23
拓,1
骨,2
黜,1
迭,1
任,8
赝,1
庭,6
翁,2
现,5
万,10
鄙,2
忌,2
才,9
婆,1
欣,8
根,2
景,6
薛,1
丑,4
觥,1
痛,10
森,1
满,7
迹,7
因,14
辰,4
随,11
江,17
置,3
恭,5
铳,1
讲,10
绮,1
穑,1
绿,1
简,3
云,46
悼,3
觉,5
舟,10
盖,5
见,38
末,6
细,2
寅,3
耶,2
芳,5
述,3
彩,1
頭,1
祥,2
酒,10
友,7
朕,3
周,15
宿,3
畅,7
憩,1
帐,1
驴,3
门,15
襟,1
居,27
萌,2
义,12
欢,7
龄,2
团,1
戴,2
了,3
催,2
连,12
臣,31
隶,1
晖,1
庸,4
法,35
王,50
久,11
或,12
瞻,2
堕,1
溪,4
蒋,1
个,1
沙,1
寝,4
宙,6
回,1
耕,1
话,3
侠,1
棋,1
移,6
阜,1
粤,2
新,5
俭,8
焉,2
胡,4
胥,2
汝,3
说,4
惟,13
殊,7
兄,13
忠,9
被,4
靖,3
诵,2
聚,4
争,17
谛,1
寥,1
容,3
足,23
闬,1
沛,1
箪,1
竞,4
进,10
磐,2
辉,3
俟,1
誓,2
五,25
城,7
太,28
沂,2
畦,1
工,3
扶,1
孟,3
邛,1
诗,25
晃,1
声,3
镜,1
豆,1
临,13
反,4
更,7
碍,2
李,7
偃,1
仙,2
院,2
睿,1
帷,1
伯,12
尺,5
鬼,2
钧,1
刺,3
马,8
舡,1
林,22
差,1
翰,4
名,24
日,60
税,1
姓,10
帛,2
阮,4
严,2
鸿,12
织,1
布,9
淫,1
弁,1
窈,1
悚,1
辅,1
厥,2
瑛,2
鹤,4
嵇,3
靡,1
辞,2
丸,6
同,24
巫,1
郁,1
庆,4
岱,1
猷,2
虽,21
罕,1
举,9
荨,1
黄,10
病,7
枇,1
割,1
辇,1
兰,17
舍,14
岁,14
首,24
贻,3
散,8
乙,3
薪,1
壤,1
感,18
芨,1
措,1
尖,2
补,5
报,7
离,7
十,37
延,3
惕,1
墟,1
朗,5
敏,3
光,20
岳,2
阐,2
茹,2
继,4
叙,8
伐,1
来,23
邪,7
最,1
躁,1
梁,5
丰,1
勋,2
颦,1
己,5
局,1
稷,2
聊,1
咸,9
俯,10
品,11
州,14
农,1
闺,4
辱,3
续,1
密,2
跋,4
关,2
縕,1
偶,3
板,1
住,5
惊,1
嗜,1
冷,3
将,19
铅,1
造,5
邈,1
酬,1
俗,5
几,1
贫,3
振,2
葛,1
拱,3
贤,11
祭,7
交,9
岘,2
神,21
有,115
直,5
扬,3
琰,1
羞,1
祗,1
元,26
钟,2
灾,2
广,9
丁,1
烧,1
国,27
带,7
钓,6
头,3
巡,1
听,6
齐,4
湖,5
试,1
隆,2
究,1
破,3
善,12
使,19
职,2
烹,2
欲,11
妙,6
从,3
丝,5
略,1
育,1
翦,1
知,27
吹,1
音,3
坟,1
信,10
皇,8
犹,3
击,2
肥,3
何,17
兼,3
族,1
始,14
溸,1
偏,1
漫,1
范,3
秀,1
踌,2
其,128
就,5
荤,1
困,3
高,22
丧,1
本,16
逸,4
顼,1
尹,2
急,3
聪,1
舒,2
绢,2
照,8
渊,1
敌,2
踼,1
施,5
挍,3
大,72
念,9
创,1
甫,5
缓,1
若,24
清,32
女,12
嫔,1
且,4
拖,1
舌,1
裴,1
诟,1
寔,1
妹,1
是,59
鼻,2
恨,1
吸,1
泣,2
射,7
记,9
峻,3
衾,1
夜,16
良,11
虎,1
腾,4
巢,1
猿,1
遂,17
父,44
骠,1
楼,3
桑,1
尼,2
侧,3
龢,1
贴,1
园,1
壶,1
世,35
阶,2
正,9
墓,5
返,2
阿,3
复,11
佩,1
稼,2
萧,1
制,7
骇,3
迎,1
果,5
自,40
践,1
策,1
屏,2
利,9
岸,2
海,16
坡,1
懒,2
坤,2
挺,2
辨,2
计,1
豚,1
遣,2
魄,2
茶,2
桐,1
鼎,1
酷,3
程,3
并,8
切,5
先,31
台,1
暖,1
冰,1
纳,4
率,2
巾,1
乱,3
涯,1
罪,9
虚,4
观,13
鸡,1
枚,2
浮,2
重,12
我,9
刘,5
鹿,3
裹,3
树,6
对,2
粉,1
陛,1
榴,1
甚,15
禊,3
阁,3
荒,1
矢,1
昔,12
诛,3
路,8
竿,1
岫,1
熹,1
戊,2
香,9
篇,2
囊,2
衰,2
卿,10
符,1
贞,7
寻,6
如,37
佑,5
请,4
膳,3
圣,15
犊,3
智,4
拂,1
条,1
骋,2
处,10
着,1
近,14
懊,1
度,6
公,41
寸,3
节,6
人,151
虑,2
维,4
旧,2
数,3
两,1
伤,5
戚,2
驾,3
去,4
谷,2
商,3
故,67
侮,1
竟,3
峯,2
彼,7
融,4
覆,3
像,1
雁,2
劳,3
唐,11
垢,3
惠,9
蒨,1
往,1
扉,1
妾,2
七,18
萨,2
黍,1
稍,1
咨,1
撰,4
迨,1
玕,1
戈,2
闻,12
左,13
晚,1
官,8
俾,1
臭,2
邻,1
座,4
考,1
典,2
奄,1
喆,1
翠,2
陨,1
南,29
退,4
律,2
涵,3
表,5
组,1
苗,1
比,12
缘,6
慢,1
匪,2
朱,1
冯,10
息,6
改,1
指,1
床,1
轲,1
岐,4
斗,1
驻,2
曰,54
衣,15
步,3
胸,1
掀,1
愿,3
白,17
摩,1
弥,3
赋,1
岩,7
等,3
映,5
纨,2
郑,2
美,6
提,4
爱,5
娥,1
履,6
聿,1
孰,4
塔,11
灭,1
永,17
池,9
倒,2
昭,2
抑,1
詺,1
盛,12
小,13
菊,1
贝,2
氏,16
仁,2
好,12
失,13
克,6
难,2
洗,1
突,1
杖,2
凉,6
摄,1
播,1
亦,22
浙,4
洎,2
至,35
充,3
佚,1
决,1
斩,3
